category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	my_metric
false_component	CREMI	img_1	pred_3.png	25520.0	285.0	0.0	8892.0	76.0	0.0	5.0	21.0	0.0		13	1
false_component	CREMI	img_1	pred_4.png	25520.0	348.0	0.0	8892.0	92.0	0.0	5.0	26.0	0.0		7	1
false_component	CREMI	img_1	pred_5.png	25520.0	428.0	0.0	8892.0	114.0	0.0	5.0	31.0	0.0		14	1
false_component	CREMI	img_1	pred_6.png	25520.0	504.0	0.0	8892.0	136.0	0.0	5.0	36.0	0.0		9	1
false_component	CREMI	img_1	pred_7.png	25520.0	574.0	0.0	8892.0	153.0	0.0	5.0	41.0	0.0		10	1
false_component	CREMI	img_1	pred_8.png	25520.0	640.0	0.0	8892.0	170.0	0.0	5.0	46.0	0.0		19	1
false_component	CREMI	img_1	pred_9.png	25520.0	713.0	0.0	8892.0	190.0	0.0	5.0	51.0	0.0		20	1
false_component	CREMI	img_1	pred_10.png	25520.0	783.0	0.0	8892.0	208.0	0.0	5.0	55.0	0.0		5	1
false_component	CREMI	img_1	pred_11.png	25520.0	846.0	0.0	8892.0	220.0	0.0	5.0	60.0	0.0		16	1
false_component	CREMI	img_1	pred_12.png	25520.0	907.0	0.0	8892.0	239.0	0.0	5.0	65.0	0.0		17	1
false_component	CREMI	img_1	pred_13.png	25520.0	962.0	0.0	8892.0	252.0	0.0	5.0	70.0	0.0		8	1
false_component	CREMI	img_1	pred_14.png	25520.0	998.0	0.0	8892.0	263.0	0.0	5.0	75.0	0.0		12	1
false_component	CREMI	img_1	pred_15.png	25520.0	1079.0	0.0	8892.0	286.0	0.0	5.0	80.0	0.0		1	1
false_component	CREMI	img_1	pred_16.png	25520.0	1138.0	0.0	8892.0	298.0	0.0	5.0	85.0	0.0		3	1
false_component	CREMI	img_1	pred_17.png	25520.0	1178.0	0.0	8892.0	310.0	0.0	5.0	90.0	0.0		18	1
false_component	CREMI	img_1	pred_18.png	25520.0	1259.0	0.0	8892.0	330.0	0.0	5.0	95.0	0.0		4	1
false_component	CREMI	img_1	pred_19.png	25520.0	1322.0	0.0	8892.0	348.0	0.0	5.0	100.0	0.0		15	1
false_component	LES-AV	img_0	gt.png	158725.0	0.0	0.0	16428.0	0.0	0.0	2.0	0.0	0.0		0	1
false_component	LES-AV	img_0	pred_0.png	158725.0	4715.0	0.0	16428.0	212.0	0.0	2.0	6.0	0.0		2	1
false_component	LES-AV	img_0	pred_1.png	158725.0	10584.0	0.0	16428.0	683.0	0.0	2.0	11.0	0.0		11	1
false_component	LES-AV	img_0	pred_2.png	158725.0	13526.0	0.0	16428.0	862.0	0.0	2.0	16.0	0.0		6	1
false_component	LES-AV	img_0	pred_3.png	158725.0	22137.0	0.0	16428.0	1200.0	0.0	2.0	21.0	0.0		13	1
false_component	LES-AV	img_0	pred_4.png	158725.0	27882.0	0.0	16428.0	1446.0	0.0	2.0	26.0	0.0		7	1
false_component	LES-AV	img_0	pred_5.png	158725.0	30462.0	0.0	16428.0	1667.0	0.0	2.0	31.0	0.0		14	1
false_component	LES-AV	img_0	pred_6.png	158725.0	34972.0	0.0	16428.0	1951.0	0.0	2.0	36.0	0.0		9	1
false_component	LES-AV	img_0	pred_7.png	158725.0	38239.0	0.0	16428.0	2312.0	0.0	2.0	41.0	0.0		10	1
false_component	LES-AV	img_0	pred_8.png	158725.0	42526.0	0.0	16428.0	2677.0	0.0	2.0	46.0	0.0		19	1
false_component	LES-AV	img_0	pred_9.png	158725.0	53156.0	0.0	16428.0	2990.0	0.0	2.0	51.0	0.0		20	1
false_component	LES-AV	img_0	pred_10.png	158725.0	56601.0	0.0	16428.0	3199.0	0.0	2.0	55.0	0.0		5	1
false_component	LES-AV	img_0	pred_11.png	158725.0	61144.0	0.0	16428.0	3464.0	0.0	2.0	60.0	0.0		16	1
false_component	LES-AV	img_0	pred_12.png	158725.0	68611.0	0.0	16428.0	3797.0	0.0	2.0	65.0	0.0		17	1
false_component	LES-AV	img_0	pred_13.png	158725.0	75211.0	0.0	16428.0	4033.0	0.0	2.0	70.0	0.0		8	1
false_component	LES-AV	img_0	pred_14.png	158725.0	79688.0	0.0	16428.0	4260.0	0.0	2.0	75.0	0.0		12	1
false_component	LES-AV	img_0	pred_15.png	158725.0	82546.0	0.0	16428.0	4583.0	0.0	2.0	80.0	0.0		1	1
false_component	LES-AV	img_0	pred_16.png	158725.0	85279.0	0.0	16428.0	4729.0	0.0	2.0	85.0	0.0		3	1
false_component	LES-AV	img_0	pred_17.png	158725.0	88724.0	0.0	16428.0	4897.0	0.0	2.0	90.0	0.0		18	1
false_component	LES-AV	img_0	pred_18.png	158725.0	93459.0	0.0	16428.0	5192.0	0.0	2.0	95.0	0.0		4	1
false_component	LES-AV	img_0	pred_19.png	158725.0	98205.0	0.0	16428.0	5445.0	0.0	2.0	100.0	0.0		15	1
false_component	LES-AV	img_2	gt.png	224228.0	0.0	0.0	18647.0	0.0	0.0	1.0	0.0	0.0		0	1
false_component	LES-AV	img_2	pred_0.png	224228.0	3641.0	0.0	18647.0	150.0	0.0	1.0	6.0	0.0		2	1
false_component	LES-AV	img_2	pred_1.png	224228.0	10092.0	0.0	18647.0	370.0	0.0	1.0	11.0	0.0		11	1
false_component	LES-AV	img_2	pred_2.png	224228.0	17890.0	0.0	18647.0	732.0	0.0	1.0	16.0	0.0		6	1
false_component	LES-AV	img_2	pred_3.png	224228.0	27296.0	0.0	18647.0	1090.0	0.0	1.0	21.0	0.0		13	1
